Year,Borough,Crimes
2010,Barking and Dagenham,14606
2011,Barking and Dagenham,21572
2012,Barking and Dagenham,17366
2013,Barking and Dagenham,16537
2014,Barking and Dagenham,16230
2015,Barking and Dagenham,17191
2016,Barking and Dagenham,16355
2017,Barking and Dagenham,18695
2018,Barking and Dagenham,18309
2019,Barking and Dagenham,20205
2020,Barking and Dagenham,16066
2021,Barking and Dagenham,19898
2010,Barnet,19147
2011,Barnet,30484
2012,Barnet,25668
2013,Barnet,23219
2014,Barnet,23036
2015,Barnet,24626
2016,Barnet,23674
2017,Barnet,27002
2018,Barnet,28298
2019,Barnet,31617
2020,Barnet,22863
2021,Barnet,27155
2010,Bexley,10574
2011,Bexley,14520
2012,Bexley,12365
2013,Bexley,11916
2014,Bexley,12206
2015,Bexley,12347
2016,Bexley,12288
2017,Bexley,14831
2018,Bexley,15386
2019,Bexley,18082
2020,Bexley,13090
2021,Bexley,15002
2022,Bexley,13440
2010,Brent,22257
2011,Brent,35890
2012,Brent,28619
2013,Brent,24691
2014,Brent,25212
2015,Brent,25630
2016,Brent,25498
2017,Brent,29771
2018,Brent,30824
2019,Brent,30487
2020,Brent,24233
2021,Brent,28186
2010,Bromley,16460
2011,Bromley,25626
2012,Bromley,20657
2013,Bromley,19488
2014,Bromley,20186
2015,Bromley,21100
2016,Bromley,19004
2017,Bromley,22792
2018,Bromley,23237
2019,Bromley,25220
2020,Bromley,18510
2021,Bromley,22507
2010,Camden,25573
2011,Camden,41933
2012,Camden,33684
2013,Camden,29305
2014,Camden,27939
2015,Camden,30345
2016,Camden,27796
2017,Camden,37957
2018,Camden,35670
2019,Camden,39835
2020,Camden,25424
2021,Camden,28178
2010,Croyden,24338
2011,Croyden,37589
2012,Croyden,32415
2013,Croyden,28453
2014,Croyden,28349
2015,Croyden,29339
2016,Croyden,27925
2017,Croyden,30599
2018,Croyden,31060
2019,Croyden,33912
2020,Croyden,28279
2021,Croyden,33222
2010,Ealing,26878
2011,Ealing,38412
2012,Ealing,30990
2013,Ealing,26738
2014,Ealing,25717
2015,Ealing,27010
2016,Ealing,25824
2017,Ealing,28360
2018,Ealing,28334
2019,Ealing,31865
2020,Ealing,24791
2021,Ealing,29261
2010,Enfield,17521
2011,Enfield,27282
2012,Enfield,22667
2013,Enfield,22368
2014,Enfield,22415
2015,Enfield,22844
2016,Enfield,21536
2017,Enfield,25235
2018,Enfield,28018
2019,Enfield,30614
2020,Enfield,24118
2021,Enfield,29130
2010,Greenwich,18433
2011,Greenwich,26556
2012,Greenwich,21495
2013,Greenwich,19745
2014,Greenwich,20626
2015,Greenwich,21621
2016,Greenwich,21653
2017,Greenwich,25531
2018,Greenwich,25724
2019,Greenwich,28913
2020,Greenwich,21737
2021,Greenwich,26798
2010,Hackney,21205
2011,Hackney,31709
2012,Hackney,28575
2013,Hackney,26297
2014,Hackney,25201
2015,Hackney,27296
2016,Hackney,27010
2017,Hackney,31841
2018,Hackney,31280
2019,Hackney,34508
2020,Hackney,25835
2021,Hackney,31006
2010,Hammersmith and Fulham,18332
2011,Hammersmith and Fulham,27592
2012,Hammersmith and Fulham,22556
2013,Hammersmith and Fulham,19348
2014,Hammersmith and Fulham,19745
2015,Hammersmith and Fulham,20468
2016,Hammersmith and Fulham,19256
2017,Hammersmith and Fulham,21726
2018,Hammersmith and Fulham,22130
2019,Hammersmith and Fulham,23879
2020,Hammersmith and Fulham,16271
2021,Hammersmith and Fulham,20517
2010,Haringey,18701
2011,Haringey,29212
2012,Haringey,24791
2013,Haringey,21480
2014,Haringey,23551
2015,Haringey,25481
2016,Haringey,26202
2017,Haringey,30348
2018,Haringey,31059
2019,Haringey,32487
2020,Haringey,24064
2021,Haringey,29147
2010,Harrow,11484
2011,Harrow,16277
2012,Harrow,13819
2013,Harrow,12444
2014,Harrow,12303
2015,Harrow,12994
2016,Harrow,12506
2017,Harrow,13961
2018,Harrow,14907
2019,Harrow,17389
2020,Harrow,13249
2021,Harrow,15653
2010,Havering,13057
2011,Havering,20226
2012,Havering,16835
2013,Havering,15483
2014,Havering,15348
2015,Havering,16387
2016,Havering,16127
2017,Havering,18972
2018,Havering,18712
2019,Havering,19211
2020,Havering,14179
2021,Havering,17144
2010,Hillingdon,17668
