borough,year,violent_crimes
Barking and Dagenham,2010,3149
Barking and Dagenham,2011,3647
Barking and Dagenham,2012,3359
Barking and Dagenham,2013,3453
Barking and Dagenham,2014,4378
Barking and Dagenham,2015,5077
Barking and Dagenham,2016,5339
Barking and Dagenham,2017,5334
Barking and Dagenham,2018,5554
Barking and Dagenham,2019,6169
Barnet,2010,2873
Barnet,2011,3609
Barnet,2012,3390
Barnet,2013,3632
Barnet,2014,4784
Barnet,2015,5688
Barnet,2016,6152
Barnet,2017,6336
Barnet,2018,6622
Barnet,2019,7375
Bexley,2010,2048
Bexley,2011,2441
Bexley,2012,2400
Bexley,2013,2360
Bexley,2014,2886
Bexley,2015,3324
Bexley,2016,3809
Bexley,2017,4147
Bexley,2018,4338
Bexley,2019,5309
Brent,2010,4500
Brent,2011,5834
Brent,2012,5261
Brent,2013,4961
Brent,2014,6470
Brent,2015,7055
Brent,2016,7756
Brent,2017,8296
Brent,2018,8695
Brent,2019,8765
Bromley,2010,3023
Bromley,2011,3890
Bromley,2012,3537
Bromley,2013,3507
Bromley,2014,4506
Bromley,2015,5297
Bromley,2016,5375
Bromley,2017,5923
Bromley,2018,5985
Bromley,2019,6530
Camden,2010,3562
Camden,2011,4581
Camden,2012,4169
Camden,2013,3717
Camden,2014,4638
Camden,2015,5790
Camden,2016,6062
Camden,2017,6541
Camden,2018,6885
Camden,2019,6652
Croydon,2010,4405
Croydon,2011,5998
Croydon,2012,5856
Croydon,2013,5406
Croydon,2014,7120
Croydon,2015,8459
Croydon,2016,8812
Croydon,2017,8786
Croydon,2018,9214
Croydon,2019,9831
Ealing,2010,4981
Ealing,2011,6034
Ealing,2012,5955
Ealing,2013,5295
Ealing,2014,6199
Ealing,2015,7399
Ealing,2016,7853
Ealing,2017,7903
Ealing,2018,8195
Ealing,2019,8614
Enfield,2010,2853
Enfield,2011,3717
Enfield,2012,3805
Enfield,2013,3898
Enfield,2014,5058
Enfield,2015,5746
Enfield,2016,6251
Enfield,2017,6497
Enfield,2018,7050
