emissions,year,gdp_per_capita,,emissions/gdp
9350528,1750,1897.72,,4927.243218
9350528,1751,1845.71,,5066.087305
9354192,1752,1923.49,,4863.135239
9354192,1753,1925.1,,4859.0681
9357856,1754,1856.86,,5039.61311
9361520,1755,1898.8101,,4930.203394
10006384,1756,1850.5,,5407.394758
10010048,1757,1947.4399,,5140.106249
10013712,1758,1968.1899,,5087.777353
10017376,1759,1990.63,,5032.264158
10017376,1760,2034.6899,,4923.293717
10973680,1761,2099.21,,5227.528451
10977344,1762,2031.27,,5404.177682
10981008,1763,2027.9,,5414.965235
10984672,1764,2015.6,,5449.827347
10988336,1765,1982.03,,5543.980666
12259744,1766,1997.61,,6137.205961
12263408,1767,2005.23,,6115.711415
12267072,1768,2017.0699,,6081.629595
12270736,1769,2116.1699,,5798.558991
12274400,1770,2042.65,,6009.056862
13611760,1771,2066.6399,,6586.420789
13615424,1772,1998.14,,6814.049066
13619088,1773,2017.3199,,6751.079985
13622752,1774,1957.72,,6958.47823
13626416,1775,1998.5699,,6818.08327
15037056,1776,2043.29,,7359.237308
15040720,1777,2082.1899,,7223.510209
15044384,1778,2046.26,,7352.13707
15048048,1779,2021.37,,7444.479734
15055376,1780,2101.8401,,7162.950217
16843408,1781,2145.8201,,7849.403592
16847072,1782,2116.71,,7959.083672
16854400,1783,2089.97,,8064.421977
16858064,1784,2092.98,,8054.574817
16865392,1785,2059.03,,8190.940394
19148064,1786,2075.95,,9223.759724
19155392,1787,2020.63,,9479.910721
19159056,1788,1993.46,,9610.955826
19166384,1789,2017.88,,9498.2774
19173712,1790,2143.6201,,8944.54759
21416080,1791,2129.3899,,10057.37841
21423408,1792,2188.8701,,9787.427769
21430736,1793,2130.0801,,10061.00005
21434400,1794,2040.6899,,10503.50668
21441728,1795,2242.98,,9559.482474
22412688,1796,2258.6101,,9923.221365
23541200,1797,2220.8899,,10599.89511
24515824,1798,2214.8,,11069.09157
25798224,1799,2248.3301,,11474.39337
26633616,1800,2331.73,,11422.25558
26710560,1801,2338.0801,,11424.1424
26849792,1802,2348.02,,11435.07807
30191360,1803,2271.52,,13291.25872
30330592,1804,2239.8501,,13541.34904
31462768,1805,2336.9299,,13463.2913
33250802,1806,2291.8201,,14508.46949
33258130,1807,2405.8101,,13824.08778
33269120,1808,2261.0901,,14713.75245
33280114,1809,2301.1299,,14462.50992
33291104,1810,2420.1101,,13756.0287
35562784,1811,2363.5601,,15046.2787
36936784,1812,2237.1899,,16510.34809
37376464,1813,2322.78,,16091.26306
38087280,1814,2241.1799,,16994.29841
38922670,1815,2436.8,,15972.86195
41436176,1816,2271.3,,18243.37428
41923490,1817,2271.8301,,18453.62028
42022416,1818,2236.72,,18787.51744
42337520,1819,2166.74,,19539.7325
42528050,1820,2312.04,,18394.16706
42872464,1821,2312.3701,,18540.48537
44521264,1822,2317.28,,19212.72526
46873550,1823,2347.71,,19965.64738
49082944,1824,2439.7,,20118.43423
49592240,1825,2455.26,,20198.36596
50145504,1826,2292.0601,,21877.91847
52230320,1827,2438.0601,,21422.90094
52589390,1828,2406.6101,,21852.06071
53336850,1829,2393.5,,22284.04011
67864610,1830,2467.7,,27501.15897
65765136,1831,2509.5901,,26205.52894
65589264,1832,2494.6399,,26292.07686
65494004,1833,2491.26,,26289.50973
65537972,1834,2542.3201,,25778.80417
65263170,1835,2664.8,,24490.83233
76445700,1836,2699.9299,,28313.95734
73770980,1837,2646.5701,,27874.18327
75811820,1838,2745.99,,27608.19231
77779390,1839,2773.96,,28039.11736
80959740,1840,2749.8899,,29441.08417
81839100,1841,2643.4299,,30959.43645
85371200,1842,2597.53,,32866.29991
89093820,1843,2647.48,,33652.31088
93472300,1844,2818.3501,,33165.60991
99986900,1845,2912.6101,,34328.96837
95692690,1846,3043.46,,31442.07251
103548300,1847,2972.96,,34830.03471
109286130,1848,3002.6599,,36396.4397
116005900,1849,2990.5,,38791.473
122604770,1850,2913.6399,,42079.58918
116654430,1851,3004.3899,,38827.993
116240400,1852,3059.3799,,37994.75835
115599200,1853,3135.8501,,36863.75187
139301620,1854,3232.5801,,43093.01415
130442060,1855,3159.5901,,41284.48814
140375170,1856,3264.9299,,42994.8496
137861660,1857,3261.4099,,42270.57139
135113660,1858,3213.96,,42039.6209
150011490,1859,3299.71,,45462.02242
167950430,1860,3347.1899,,50176.5466
175047600,1861,3371.6799,,51917.02807
169470990,1862,3302.77,,51311.77466
180224830,1863,3439.75,,52394.74671
193909870,1864,3445.8201,,56273.93897
205488110,1865,3564.3501,,57650.93334
211731570,1866,3569.1299,,59323.02156
217374130,1867,3543.3101,,61347.75785
213219150,1868,3639.0801,,58591.49679
223705520,1869,3683.75,,60727.66067
228494370,1870,3927.1799,,58182.81205
242036510,1871,4104.1299,,58973.89115
254988750,1872,4065.4199,,62721.38088
264658050,1873,4038.55,,65532.9388
257187170,1874,4152.9902,,61928.19092
271487740,1875,4131.02,,65719.29935
271018750,1876,4089.48,,66272.17886
275899200,1877,4067.54,,67829.49891
270974800,1878,4010.6399,,67563.9815
272645570,1879,3880.03,,70268.93349
297124770,1880,4115.9902,,72187.91969
312312030,1881,4168.96,,74913.65472
314964770,1882,4183.0898,,75294.76656
327730140,1883,4273,,76697.90311
319097760,1884,4178.8398,,76360.3716
